time,dcBusVoltage
210.427, 111.2999954
210.536, 111.3999939
210.645, 111.2999954
210.754, 111.2999954
210.861, 111.2999954
210.973, 111.2999954
211.085, 111.2999954
211.197, 111.3999939
211.307, 111.5
211.414, 111.5
211.52, 111.5
211.626, 111.5
211.735, 111.3999939
211.839, 111.5
211.943, 111.5
212.05, 111.5
212.157, 111.3999939
212.263, 111.5
212.375, 111.5
212.484, 111.5999985
212.591, 111.6999969
212.7, 111.6999969
212.806, 112.1999969
212.913, 111.5999985
213.019, 111.2999954
213.123, 111.1999969
213.23, 111.1999969
213.34, 111.1999969
213.451, 111.8999939
213.561, 112.0999985
213.664, 111.8999939
213.771, 111.3999939
213.88, 111
213.984, 111.0999985
214.09, 112.1999969
214.197, 113
214.303, 113.6999969
214.41, 114
214.517, 113.5999985
214.621, 113.1999969
214.727, 113.7999954
214.818, 113.5
214.929, 113.6999969
215.02, 113.5
215.129, 113.5
215.235, 113.5999985
215.345, 113.6999969
215.452, 113.6999969
215.558, 113.6999969
215.667, 113.6999969
215.772, 113.5999985
215.878, 113.6999969
215.982, 113.7999954
216.088, 113.7999954
216.198, 115.0999985
216.307, 117.1999969
216.413, 117.9000015
216.517, 118.0999985
216.624, 118.1999969
216.73, 118.2999954
216.842, 118.2999954
216.949, 118.4000015
217.058, 118.4000015
217.165, 118.5
217.268, 118.5
217.378, 118.5
217.48, 118.5999985
217.585, 118.5999985
217.689, 118.5999985
217.796, 118.5999985
217.905, 118.6999969
218.012, 118.6999969
218.118, 118.6999969
218.228, 118.7999954
218.334, 118.7999954
218.425, 118.7999954
218.531, 118.7999954
218.641, 118.7999954
218.747, 118.9000015
218.853, 118.7999954
218.96, 118.9000015
219.066, 118.9000015
219.176, 118.9000015
219.29, 118.9000015
219.4, 119
219.507, 119
219.617, 119
219.721, 119
219.828, 119
219.939, 119
220.049, 119.0999985
220.155, 119.0999985
220.246, 119.0999985
220.355, 119.0999985
220.461, 119.0999985
220.568, 119.0999985
220.675, 119.0999985
220.784, 119.0999985
220.888, 119.1999969
220.994, 119.1999969
221.101, 119.0999985
221.207, 119.1999969
221.317, 119.1999969
221.421, 119.1999969
221.532, 119.1999969
221.642, 119.1999969
221.749, 118.7999954
221.858, 118.5
221.964, 117.7999954
222.076, 117.0999985
222.188, 116.9000015
222.3, 116.9000015
222.41, 116.6999969
222.516, 116.9000015
222.622, 116.6999969
222.732, 116.5
222.841, 116.5
222.948, 116.4000015
223.059, 116.0999985
223.169, 116.0999985
223.276, 116.0999985
223.382, 116.1999969
223.491, 116.0999985
223.601, 116.0999985
223.71, 116
223.822, 115.8999939
223.934, 115.8999939
224.043, 115.8999939
224.15, 115.7999954
224.256, 115.7999954
224.366, 115.6999969
224.472, 115.6999969
224.576, 115.5999985
224.683, 115.5999985
224.791, 115.5
224.896, 115.3999939
225.003, 115.3999939
225.11, 116.5999985
225.216, 118.1999969
225.32, 118.6999969
225.43, 118.9000015
225.536, 119
225.642, 119
225.752, 119.0999985
225.864, 119.0999985
225.97, 119.0999985
226.077, 119.0999985
226.187, 119.1999969
226.296, 119.0999985
226.403, 119.1999969
226.515, 119.1999969
226.624, 119.1999969
226.715, 119.1999969
226.821, 119.1999969
226.928, 119.2999954
227.034, 119.2999954
227.141, 119.2999954
227.25, 119.2999954
227.341, 119.2999954
227.45, 119.1999969
227.556, 118.5999985
227.668, 118.4000015
227.778, 117.9000015
227.887, 116.9000015
227.99, 116.0999985
228.097, 115.8999939
228.21, 115.7999954
228.319, 115.6999969
228.425, 115.5999985
228.532, 115.3999939
228.638, 115.3999939
228.748, 115.2999954
228.852, 115.0999985
228.958, 115.1999969
229.065, 115
229.172, 114.7999954
229.278, 114.6999969
229.39, 114.7999954
229.496, 114.5999985
229.606, 114.5
229.71, 114.5
229.819, 114.3999939
229.926, 114.2999954
230.032, 114.1999969
230.141, 114.0999985
230.248, 114.0999985
230.357, 114
230.466, 113.8999939
230.573, 113.7999954
230.68, 113.7999954
230.786, 113.6999969
230.896, 113.5999985
231.002, 113.5
231.111, 113.5
231.221, 113.3999939
231.332, 113.3999939
231.423, 113.2999954
231.532, 113.1999969
231.639, 113.1999969
231.745, 113.0999985
231.852, 113
231.958, 112.8999939
232.065, 112.8999939
232.177, 112.7999954
232.283, 112.6999969
232.39, 112.6999969
232.499, 112.5999985
232.606, 112.5999985
232.71, 112.5
232.822, 112.5999985
232.931, 112.3999939
233.037, 112.3999939
233.147, 112.3999939
233.254, 112.2999954
233.365, 112.2999954
233.473, 112.0999985
233.582, 112.1999969
233.691, 112.1999969
233.801, 112.0999985
233.91, 112.0999985
234.017, 112.0999985
234.129, 112
234.238, 112
234.345, 111.8999939
234.448, 111.8999939
234.555, 111.8999939
234.661, 111.8999939
234.771, 111.8999939
234.881, 111.8999939
234.99, 111.7999954
235.099, 111.8999939
235.206, 111.8999939
235.315, 111.8999939
235.421, 111.8999939
235.512, 111.7999954
235.624, 111.7999954
235.733, 111.8999939
235.84, 111.8999939
235.946, 111.7999954
236.05, 111.7999954
236.16, 111.7999954
236.266, 111.8999939
236.376, 111.8999939
236.486, 112.0999985
236.593, 112
236.707, 112.1999969
236.817, 112.2999954
236.923, 112.3999939
237.03, 112.3999939
237.142, 112.3999939
237.251, 112.5
237.36, 112.5999985
237.467, 112.5999985
237.576, 112.6999969
237.68, 112.7999954
237.786, 112.8999939
237.893, 113
238, 113
238.107, 113.0999985
238.213, 113.0999985
238.32, 113.1999969
238.429, 113.1999969
238.541, 113.1999969
238.65, 113.2999954
238.759, 113.2999954
238.866, 113.2999954
238.976, 113.3999939
239.082, 113.3999939
239.189, 113.3999939
239.298, 113.5
239.404, 113.5
239.514, 113.5999985
239.62, 113.5
239.727, 113.6999969
239.836, 113.5999985
239.946, 113.7999954
240.055, 113.7999954
240.164, 113.7999954
240.271, 113.7999954
240.38, 113.8999939
240.487, 113.8999939
240.596, 113.8999939
240.702, 113.8999939
240.81, 113.8999939
240.918, 113.8999939
241.027, 114
241.137, 114
241.247, 114
241.356, 114
241.465, 114
241.572, 114.0999985
241.682, 114
241.788, 114
241.898, 114
242.001, 114
242.108, 114
242.217, 114.0999985
242.324, 114
242.433, 114
242.539, 114
242.651, 114
242.763, 114
242.873, 114
242.984, 114
243.094, 114
243.203, 114
243.312, 114
243.422, 114
243.531, 114
243.64, 114
243.749, 113.8999939
243.856, 113.8999939
243.965, 113.8999939
244.074, 113.8999939
244.184, 113.7999954
244.291, 113.7999954
244.4, 113.6999969
244.506, 113.7999954
244.597, 113.7999954
244.703, 113.7999954
244.812, 113.6999969
244.921, 113.6999969
245.033, 113.6999969
245.14, 113.6999969
245.241, 113.6999969
245.353, 113.5999985
245.46, 113.5999985
245.566, 113.6999969
245.678, 113.5999985
245.788, 113.5999985
245.895, 113.5999985
246.004, 113.5999985
246.11, 113.5999985
246.22, 113.5999985
246.332, 113.5999985
246.444, 113.5999985
246.553, 113.5999985
246.659, 113.5
246.766, 113.5999985
246.873, 113.5999985
246.982, 113.5999985
247.089, 113.5999985
247.195, 113.5
247.304, 113.3999939
247.408, 113.3999939
247.52, 113.3999939
247.632, 113.3999939
247.742, 113.3999939
247.853, 113.2999954
247.96, 113.2999954
248.069, 113.2999954
248.176, 113.2999954
248.282, 113.2999954
248.391, 113.2999954
